"Story","Title","Result","Date","Stability","Duration (s)"
"Testing create user reqres API","Post create new user with empty json file","FAILURE","2023-02-14T11:14:59.064+07:00[Asia/Jakarta]","0.0","7.24"
"Delayed response testing reqres API","Testing delayed response","SUCCESS","2023-02-14T11:15:06.35+07:00[Asia/Jakarta]","0.0","5.7"
"Testing delete user reqres API","Delete user with invalid parameter id","FAILURE","2023-02-14T11:15:12.108+07:00[Asia/Jakarta]","0.0","0.72"
"Testing get single user reqres API","get single user with valid parameter","SUCCESS","2023-02-14T11:15:12.863+07:00[Asia/Jakarta]","0.0","0.42"
"Testing get single user reqres API","get single user not found or invalid parameter","SUCCESS","2023-02-14T11:15:13.311+07:00[Asia/Jakarta]","0.0","0.22"
"Testing list resource reqres API","Get list resource","SUCCESS","2023-02-14T11:15:13.558+07:00[Asia/Jakarta]","0.0","0.66"
"Testing list single resource reqres API","Get list single resource","SUCCESS","2023-02-14T11:15:14.254+07:00[Asia/Jakarta]","0.0","0.29"
"Testing list single resource reqres API","Get list single resource with invalid parameter id","SUCCESS","2023-02-14T11:15:14.556+07:00[Asia/Jakarta]","0.0","0.55"
"Testing get list user reqres API","Get list users with invalid parameter page","FAILURE","2023-02-14T11:15:15.141+07:00[Asia/Jakarta]","0.0","0.61"
"Patch user testing reqres API","Patch user dengan valid parameter id","SUCCESS","2023-02-14T11:15:15.759+07:00[Asia/Jakarta]","0.0","0.68"
"Patch user testing reqres API","Patch user dengan invalid parameter id","FAILURE","2023-02-14T11:15:16.461+07:00[Asia/Jakarta]","0.0","0.59"
"Patch user testing reqres API","Patch user dengan invalid file json","FAILURE","2023-02-14T11:15:17.064+07:00[Asia/Jakarta]","0.0","0.61"
"Testing register reqres API","Register user with valid data","SUCCESS","2023-02-14T11:15:17.697+07:00[Asia/Jakarta]","0.0","0.63"
"Testing register reqres API","Register user with valid email and empty password","SUCCESS","2023-02-14T11:15:18.35+07:00[Asia/Jakarta]","0.0","0.67"
"Testing register reqres API","Register user with valid password and empty email","SUCCESS","2023-02-14T11:15:19.036+07:00[Asia/Jakarta]","0.0","0.59"
"Testing update user reqres API","Put update user with valid json and invalid parameter id","FAILURE","2023-02-14T11:15:19.648+07:00[Asia/Jakarta]","0.0","0.64"
"Testing update user reqres API","Put update user with invalid file json and valid id","FAILURE","2023-02-14T11:15:20.301+07:00[Asia/Jakarta]","0.0","0.6"
"Testing user login reqres API","user login with valid email dan password","SUCCESS","2023-02-14T11:15:20.914+07:00[Asia/Jakarta]","0.0","0.79"
"Testing user login reqres API","User login with valid email and empty password","SUCCESS","2023-02-14T11:15:21.721+07:00[Asia/Jakarta]","0.0","0.72"
"Testing user login reqres API","User login with empty email and valid password","SUCCESS","2023-02-14T11:15:22.463+07:00[Asia/Jakarta]","0.0","0.6"
