"Story","Title","Result","Date","Stability","Duration (s)"
<<<<<<< Updated upstream
"Delete carts","Delete a cart with valid id","SUCCESS","2023-02-17T15:46:22.328+07:00[Asia/Jakarta]","0.0","8.25"
"Delete carts","Delete a cart with invalid id","SUCCESS","2023-02-17T15:46:30.628+07:00[Asia/Jakarta]","0.0","1.24"
"Testing delete a product dummyjson API","Delete product with valid id","SUCCESS","2023-02-17T15:46:31.908+07:00[Asia/Jakarta]","0.0","2.2"
"Testing delete a product dummyjson API","Delete product with invalid id","SUCCESS","2023-02-17T15:46:34.138+07:00[Asia/Jakarta]","0.0","2.67"
"Delete a todos","Delete todos with valid id","SUCCESS","2023-02-17T15:46:36.903+07:00[Asia/Jakarta]","0.0","1.14"
"Delete a todos","Delete todos with invalid id","SUCCESS","2023-02-17T15:46:38.067+07:00[Asia/Jakarta]","0.0","1.0"
"Get All Carts","Get all list of carts","SUCCESS","2023-02-17T15:46:39.109+07:00[Asia/Jakarta]","0.0","1.03"
"Get All Carts","Get invalid all carts","SUCCESS","2023-02-17T15:46:40.147+07:00[Asia/Jakarta]","0.0","1.24"
"testing get all product categorise dummyjson API","Get all products categories with valid path","SUCCESS","2023-02-17T15:46:41.41+07:00[Asia/Jakarta]","0.0","1.07"
"testing get all product categorise dummyjson API","Get all products categories with invalid path","SUCCESS","2023-02-17T15:46:42.492+07:00[Asia/Jakarta]","0.0","0.95"
"get all products","get all list of products","SUCCESS","2023-02-17T15:46:43.47+07:00[Asia/Jakarta]","0.0","1.15"
"get all products","get invalid all list of products","SUCCESS","2023-02-17T15:46:44.63+07:00[Asia/Jakarta]","0.0","1.03"
"get all todos","Get all todos with valid parameter","SUCCESS","2023-02-17T15:46:45.685+07:00[Asia/Jakarta]","0.0","1.1"
"get all todos","Get all todos with invalid parameter id","SUCCESS","2023-02-17T15:46:46.812+07:00[Asia/Jakarta]","0.0","1.01"
"Get cart of user","Get cart of user with valid id","SUCCESS","2023-02-17T15:46:47.842+07:00[Asia/Jakarta]","0.0","0.99"
"Get cart of user","Get cart of user with invalid id","SUCCESS","2023-02-17T15:46:48.847+07:00[Asia/Jakarta]","0.0","0.98"
"Testing get category of product dummyjson API","Get products of category with valid path","SUCCESS","2023-02-17T15:46:49.842+07:00[Asia/Jakarta]","0.0","2.07"
"Testing get category of product dummyjson API","Get products of category with invalid path","SUCCESS","2023-02-17T15:46:51.921+07:00[Asia/Jakarta]","0.0","2.0"
"Get random todos","Get a random todos with valid parameter","SUCCESS","2023-02-17T15:46:53.943+07:00[Asia/Jakarta]","0.0","1.28"
"Get random todos","Get a random todos with invalid parameter id","SUCCESS","2023-02-17T15:46:55.242+07:00[Asia/Jakarta]","0.0","0.96"
"Testing post search product dummyjson API","Get search product with valid parameter string","SUCCESS","2023-02-17T15:46:56.237+07:00[Asia/Jakarta]","0.0","4.16"
"Testing get single product dummy json","get all product with valid parameter","SUCCESS","2023-02-17T15:47:00.421+07:00[Asia/Jakarta]","0.0","1.14"
"Testing get single product dummy json","Get single product with invalid parameter id","SUCCESS","2023-02-17T15:47:01.57+07:00[Asia/Jakarta]","0.0","1.07"
"Get single todos","Get a single todos with valid parameter id","SUCCESS","2023-02-17T15:47:02.809+07:00[Asia/Jakarta]","0.0","1.14"
"Get single todos","Get a single todos with invalid parameter","SUCCESS","2023-02-17T15:47:03.965+07:00[Asia/Jakarta]","0.0","1.01"
"Get todos by user","Get todos by user with valid parameter id","SUCCESS","2023-02-17T15:47:04.992+07:00[Asia/Jakarta]","0.0","1.0"
"Get todos by user","Get all todos by user with invalid parameter","SUCCESS","2023-02-17T15:47:06.008+07:00[Asia/Jakarta]","0.0","1.08"
"Testing Limit & Skip products dummyjson API","Get Limit and skip products with valid parameter limit and skip","SUCCESS","2023-02-17T15:47:07.121+07:00[Asia/Jakarta]","0.0","4.9"
"Limit and skip todos","Get Limit and skip todos with valid parameter limit and skip","SUCCESS","2023-02-17T15:47:12.056+07:00[Asia/Jakarta]","0.0","1.07"
"Limit and skip todos","Get Limit and skip todos with invalid parameter limit and skip","SUCCESS","2023-02-17T15:47:13.136+07:00[Asia/Jakarta]","0.0","1.04"
"Post add a new todos","Post add new todos with valid data json body","SUCCESS","2023-02-17T15:47:14.207+07:00[Asia/Jakarta]","0.0","1.11"
"Post add a new todos","Post add new todos with invalid data json body","SUCCESS","2023-02-17T15:47:15.332+07:00[Asia/Jakarta]","0.0","0.96"
"Post add cart feature","Post add new cart with valid json and valid user id","SUCCESS","2023-02-17T15:47:16.328+07:00[Asia/Jakarta]","0.0","1.02"
"Post add cart feature","Post add new cart with invalid json","SUCCESS","2023-02-17T15:47:17.362+07:00[Asia/Jakarta]","0.0","1.02"
"testing add product","Post a new product with valid data json body","SUCCESS","2023-02-17T15:47:18.41+07:00[Asia/Jakarta]","0.0","16.3"
"testing add product","Post a new product with invalid data json body","FAILURE","2023-02-17T15:47:34.724+07:00[Asia/Jakarta]","0.0","1.64"
"Login user","Login with valid username and password","SUCCESS","2023-02-17T15:47:36.382+07:00[Asia/Jakarta]","0.0","1.07"
"Login user","Login with valid username and empty password","SUCCESS","2023-02-17T15:47:37.46+07:00[Asia/Jakarta]","0.0","0.99"
"Put update cart feature","Put update a cart with valid json and id","SUCCESS","2023-02-17T15:47:38.478+07:00[Asia/Jakarta]","0.0","0.94"
"Put update cart feature","Put update a cart with invalid json","SUCCESS","2023-02-17T15:47:39.44+07:00[Asia/Jakarta]","0.0","0.95"
"Testing Update a product dummyjsonAPI","Put update a product with valid data json body","SUCCESS","2023-02-17T15:47:40.42+07:00[Asia/Jakarta]","0.0","2.06"
"Testing Update a product dummyjsonAPI","Put update a product with invalid data json body","FAILURE","2023-02-17T15:47:42.493+07:00[Asia/Jakarta]","0.0","1.99"
"Put update todos","Put update todos with valid id","SUCCESS","2023-02-17T15:47:44.498+07:00[Asia/Jakarta]","0.0","1.09"
"Put update todos","Put update todos with invalid data json body","FAILURE","2023-02-17T15:47:45.606+07:00[Asia/Jakarta]","0.0","0.99"
=======
"Testing create user reqres API","Post create new user with empty json file","FAILURE","2023-02-14T11:14:59.064+07:00[Asia/Jakarta]","0.0","7.24"
"Delayed response testing reqres API","Testing delayed response","SUCCESS","2023-02-14T11:15:06.35+07:00[Asia/Jakarta]","0.0","5.7"
"Testing delete user reqres API","Delete user with invalid parameter id","FAILURE","2023-02-14T11:15:12.108+07:00[Asia/Jakarta]","0.0","0.72"
"Testing get single user reqres API","get single user with valid parameter","SUCCESS","2023-02-14T11:15:12.863+07:00[Asia/Jakarta]","0.0","0.42"
"Testing get single user reqres API","get single user not found or invalid parameter","SUCCESS","2023-02-14T11:15:13.311+07:00[Asia/Jakarta]","0.0","0.22"
"Testing list resource reqres API","Get list resource","SUCCESS","2023-02-14T11:15:13.558+07:00[Asia/Jakarta]","0.0","0.66"
"Testing list single resource reqres API","Get list single resource","SUCCESS","2023-02-14T11:15:14.254+07:00[Asia/Jakarta]","0.0","0.29"
"Testing list single resource reqres API","Get list single resource with invalid parameter id","SUCCESS","2023-02-14T11:15:14.556+07:00[Asia/Jakarta]","0.0","0.55"
"Testing get list user reqres API","Get list users with invalid parameter page","FAILURE","2023-02-14T11:15:15.141+07:00[Asia/Jakarta]","0.0","0.61"
"Patch user testing reqres API","Patch user dengan valid parameter id","SUCCESS","2023-02-14T11:15:15.759+07:00[Asia/Jakarta]","0.0","0.68"
"Patch user testing reqres API","Patch user dengan invalid parameter id","FAILURE","2023-02-14T11:15:16.461+07:00[Asia/Jakarta]","0.0","0.59"
"Patch user testing reqres API","Patch user dengan invalid file json","FAILURE","2023-02-14T11:15:17.064+07:00[Asia/Jakarta]","0.0","0.61"
"Testing register reqres API","Register user with valid data","SUCCESS","2023-02-14T11:15:17.697+07:00[Asia/Jakarta]","0.0","0.63"
"Testing register reqres API","Register user with valid email and empty password","SUCCESS","2023-02-14T11:15:18.35+07:00[Asia/Jakarta]","0.0","0.67"
"Testing register reqres API","Register user with valid password and empty email","SUCCESS","2023-02-14T11:15:19.036+07:00[Asia/Jakarta]","0.0","0.59"
"Testing update user reqres API","Put update user with valid json and invalid parameter id","FAILURE","2023-02-14T11:15:19.648+07:00[Asia/Jakarta]","0.0","0.64"
"Testing update user reqres API","Put update user with invalid file json and valid id","FAILURE","2023-02-14T11:15:20.301+07:00[Asia/Jakarta]","0.0","0.6"
"Testing user login reqres API","user login with valid email dan password","SUCCESS","2023-02-14T11:15:20.914+07:00[Asia/Jakarta]","0.0","0.79"
