"Story","Title","Result","Date","Stability","Duration (s)"
"Delete carts","Delete a cart with valid id","SUCCESS","2023-02-17T15:46:22.328+07:00[Asia/Jakarta]","0.0","8.25"
"Delete carts","Delete a cart with invalid id","SUCCESS","2023-02-17T15:46:30.628+07:00[Asia/Jakarta]","0.0","1.24"
"Testing delete a product dummyjson API","Delete product with valid id","SUCCESS","2023-02-17T15:46:31.908+07:00[Asia/Jakarta]","0.0","2.2"
"Testing delete a product dummyjson API","Delete product with invalid id","SUCCESS","2023-02-17T15:46:34.138+07:00[Asia/Jakarta]","0.0","2.67"
"Delete a todos","Delete todos with valid id","SUCCESS","2023-02-17T15:46:36.903+07:00[Asia/Jakarta]","0.0","1.14"
"Delete a todos","Delete todos with invalid id","SUCCESS","2023-02-17T15:46:38.067+07:00[Asia/Jakarta]","0.0","1.0"
"Get All Carts","Get all list of carts","SUCCESS","2023-02-17T15:46:39.109+07:00[Asia/Jakarta]","0.0","1.03"
"Get All Carts","Get invalid all carts","SUCCESS","2023-02-17T15:46:40.147+07:00[Asia/Jakarta]","0.0","1.24"
"testing get all product categorise dummyjson API","Get all products categories with valid path","SUCCESS","2023-02-17T15:46:41.41+07:00[Asia/Jakarta]","0.0","1.07"
"testing get all product categorise dummyjson API","Get all products categories with invalid path","SUCCESS","2023-02-17T15:46:42.492+07:00[Asia/Jakarta]","0.0","0.95"
"get all products","get all list of products","SUCCESS","2023-02-17T15:46:43.47+07:00[Asia/Jakarta]","0.0","1.15"
"get all products","get invalid all list of products","SUCCESS","2023-02-17T15:46:44.63+07:00[Asia/Jakarta]","0.0","1.03"
"get all todos","Get all todos with valid parameter","SUCCESS","2023-02-17T15:46:45.685+07:00[Asia/Jakarta]","0.0","1.1"
"get all todos","Get all todos with invalid parameter id","SUCCESS","2023-02-17T15:46:46.812+07:00[Asia/Jakarta]","0.0","1.01"
"Get cart of user","Get cart of user with valid id","SUCCESS","2023-02-17T15:46:47.842+07:00[Asia/Jakarta]","0.0","0.99"
"Get cart of user","Get cart of user with invalid id","SUCCESS","2023-02-17T15:46:48.847+07:00[Asia/Jakarta]","0.0","0.98"
